t_d_model_ps	DeltaT_lattice_K	DeltaT_electron_K
-1.87591727818546	295.008675940492	295.104508136134
-1.87124749833222	295.008719885187	295.105402767179
-1.86657771847899	295.008764220982	295.106478395395
-1.86190793862575	295.008809031098	295.107662752653
-1.85723815877251	295.008854365403	295.10880589787
-1.85256837891928	295.008900204628	295.109914767213
-1.84789859906604	295.008946532717	295.110994009141
-1.84322881921281	295.008993335766	295.112047072523
-1.83855903935957	295.009040601468	295.112987034289
-1.83388925950634	295.009088277462	295.113775717572
-1.8292194796531	295.009136293814	295.114423200835
-1.82454969979987	295.009184585277	295.114937865995
-1.81987991994663	295.009233090499	295.115330681993
-1.81521014009339	295.009281753219	295.115718657089
-1.81054036024016	295.009330571135	295.116099707074
-1.80587058038692	295.009379540986	295.116472903955
-1.80120080053369	295.009428659081	295.116837832686
-1.79653102068045	295.00947792154	295.117177812352
-1.79186124082722	295.009527316798	295.117467622739
-1.78719146097398	295.009576821667	295.117710124926
-1.78252168112075	295.009626414293	295.117907712785
-1.77785190126751	295.009676073934	295.118062506636
-1.77318212141428	295.009725780837	295.118324466451
-1.76851234156104	295.009775584382	295.118737461607
-1.76384256170781	295.00982555414	295.119291276898
-1.75917278185457	295.009875754937	295.119977582285
-1.75450300200133	295.009926247725	295.120742979066
-1.7498332221481	295.009977068811	295.121220959932
-1.74516344229486	295.010028085547	295.121433803623
-1.74049366244163	295.010079175629	295.121398562244
-1.73582388258839	295.010130224679	295.121129447519
-1.73115410273516	295.01018112493	295.120697359362
-1.72648432288192	295.010231801348	295.120176315314
-1.72181454302869	295.010282213056	295.119568369637
-1.71714476317545	295.010332320141	295.118876211813
-1.71247498332221	295.010382083951	295.118102713051
-1.70780520346898	295.010431467172	295.117638101615
-1.70313542361574	295.010480612381	295.117543652555
-1.69846564376251	295.010529690319	295.117794681416
-1.69379586390927	295.010578860256	295.118370854664
-1.68912608405604	295.010628272005	295.119234634548
-1.6844563042028	295.010678058	295.120288684398
-1.67978652434957	295.010728305742	295.121525795343
-1.67511674449633	295.010779099366	295.122938579955
-1.6704469646431	295.010830519561	295.124519859088
-1.66577718478986	295.010882643669	295.126256795351
-1.66110740493662	295.010935543074	295.128138325863
-1.65643762508339	295.010989284028	295.130158930308
-1.65176784523015	295.011043930205	295.132313282045
-1.64709806537692	295.011099542794	295.134596277735
-1.64242828552368	295.011156180601	295.136772672921
-1.63775850567045	295.011213793972	295.138828291646
-1.63308872581721	295.011272326748	295.140773244512
-1.62841894596398	295.011331727464	295.142615567554
-1.62374916611074	295.011391948385	295.144302536495
-1.6190793862575	295.011452917503	295.145686813972
-1.61440960640427	295.011514494931	295.146787875385
-1.60973982655103	295.011576549837	295.147621860221
-1.6050700466978	295.011638958896	295.148202849518
-1.60040026684456	295.011701605336	295.148900301285
-1.59573048699133	295.011764542741	295.149912623118
-1.59106070713809	295.011827916115	295.151215744435
-1.58639092728486	295.011891859286	295.152790866234
-1.58172114743162	295.011956497344	295.154622233452
-1.57705136757839	295.012021948052	295.156196546862
-1.57238158772515	295.012088092514	295.157526651594
-1.56771180787191	295.012154817823	295.158629857611
-1.56304202801868	295.012222019115	295.159520153548
-1.55837224816544	295.012289598027	295.160336063239
-1.55370246831221	295.012357520099	295.161309226576
-1.54903268845897	295.012425857658	295.162425944765
-1.54436290860574	295.012494676675	295.163676092711
-1.5396931287525	295.012564038417	295.165051444307
-1.53502334889927	295.012634000327	295.166531165616
-1.53035356904603	295.012704610217	295.1681043558
-1.52568378919279	295.012775910846	295.169766642854
-1.52101400933956	295.01284794294	295.171513962986
-1.51634422948632	295.01292074533	295.173346233246
-1.51167444963309	295.01299435679	295.175316289856
-1.50700466977985	295.013068840428	295.177416680108
-1.50233488992662	295.013144255884	295.179641018675
-1.49766511007338	295.013220659827	295.181983590832
-1.49299533022015	295.01329810626	295.184252460718
-1.48832555036691	295.013376560691	295.186214070547
-1.48365577051368	295.013455880995	295.187891204685
-1.47898599066044	295.013535935626	295.189301840092
-1.4743162108072	295.013616601394	295.19046118022
-1.46964643095397	295.013697762185	295.191853931917
-1.46497665110073	295.013779525358	295.193585211478
-1.4603068712475	295.013862046667	295.195630923056
-1.45563709139426	295.01394547067	295.197971815291
-1.45096731154103	295.014029932975	295.200534839474
-1.44629753168779	295.014115535451	295.202966806434
-1.44162775183456	295.014202217116	295.205281973815
-1.43695797198132	295.014289923598	295.207490257531
-1.43228819212809	295.014378605127	295.209599385695
-1.42761841227485	295.014468215522	295.211605314712
-1.42294863242161	295.014558706765	295.213504495849
-1.41827885256838	295.014650029226	295.215303033155
-1.41360907271514	295.014742136113	295.217006293529
-1.40893929286191	295.014834983135	295.218619099699
-1.40426951300867	295.014928528245	295.220352865393
-1.39959973315544	295.015022826865	295.222228188455
-1.3949299533022	295.01511794388	295.224235166414
-1.39026017344897	295.015213939574	295.226365798503
-1.38559039359573	295.015310870514	295.228571144603
